순번,행정구역(구),행정구역(동),행정구역(리),지번,교차로,신호등존재유무,가로길이,세로길이,면적,경도,위도,
1867,기장군,장안읍,반룡리,산101-2,,유,8,17,141,129.2587861,35.33131762,산101-2
5,기장군,장안읍,,산1-1,,유,4,12,48,129.3028907,35.34049369,산1-1
6,기장군,장안읍,,산1-1,,유,6,13,77,129.3029174,35.34064472,산1-1
7,기장군,장안읍,,산1-1,,유,6,14,85,129.3027384,35.34065386,산1-1
21,기장군,장안읍,,산1-1,,유,6,12,76,129.3027295,35.34049989,산1-1
165,해운대구,반여동,,산205-1,,유,8,11,84,129.1237034,35.20187223,산205-1
16,금정구,노포동,,산37-7,,유,6,11,57,129.080752,35.30405423,산37-7
3048,강서구,녹산동,,836-1,산양마을입구,유,8,22,177,128.8696792,35.1123816,산양마을입구
3182,강서구,녹산동,,785-2,산양삼거리,유,6,15,96,128.8728909,35.11222654,산양삼거리
3183,강서구,녹산동,,산43,산양삼거리,유,8,28,224,128.8730452,35.11245084,산양삼거리
2993,강서구,강동동,,45677,삼광초교,유,6,7,45,128.9167284,35.15189286,삼광초교
2327,사상구,덕포동,,740-1,삼덕교회,유,9,19,163,128.988476,35.17659109,삼덕교회
1932,기장군,일광면,이천리,산36-20,삼덕노인정앞,유,22,15,226,129.2297302,35.27013465,삼덕노인정앞
1943,기장군,일광면,횡계리,281-7,삼덕마을입구(횡계마을직결),유,6,15,96,129.2303471,35.27426641,삼덕마을입구(횡계마을직결)
2235,사상구,삼락동,,361-13,삼락초교,유,7,18,116,128.9794997,35.18248942,삼락초교
3535,사하구,괴정동,,583-19,삼문약국,유,7,9,50,128.9809916,35.09822422,삼문약국
2626,연제구,연산동,,462-16,삼성여객,유,13,20,166,129.1080281,35.18791248,삼성여객
2703,강서구,신호동,,185,삼성자동차남문,유,6,25,153,128.881939,35.08918701,삼성자동차남문
3188,강서구,신호동,,185,삼성자동차남문,유,8,31,263,128.8816229,35.08899835,삼성자동차남문
3189,강서구,신호동,,185,삼성자동차남문,유,6,13,83,128.8819619,35.08868602,삼성자동차남문
3178,강서구,신호동,,185,삼성자동차동문,유,8,32,258,128.8869089,35.09444646,삼성자동차동문
3179,강서구,화전동,,185,삼성자동차동문,유,8,32,260,128.8869596,35.09493398,삼성자동차동문
2704,강서구,신호동,,185,삼성자동차정문,유,4,26,104,128.8774661,35.08917979,삼성자동차정문
2705,강서구,신호동,,185,삼성자동차정문,유,8,13,101,128.877467,35.08867816,삼성자동차정문
3187,강서구,신호동,,185,삼성자동차정문,유,8,31,259,128.8771545,35.08899258,삼성자동차정문
3184,강서구,신호동,,185,삼성자동차주차장,유,8,31,260,128.8726836,35.08898397,삼성자동차주차장
3185,강서구,신호동,,185,삼성자동차주차장,유,7,20,137,128.8729979,35.08866762,삼성자동차주차장
3186,강서구,신호동,,185,삼성자동차주차장,유,8,31,261,128.8733086,35.08898265,삼성자동차주차장
3024,강서구,송정동,,1624,삼성전기정문,유,7,15,93,128.8558251,35.09346641,삼성전기정문
2920,강서구,송정동,,1619-8,삼성전기후문,유,12,19,122,128.8558393,35.09797539,삼성전기후문
1877,기장군,기장읍,내리,799,삼양사입구,유,6,9,46,129.2062927,35.20165236,삼양사입구
2152,기장군,기장읍,내리,799,삼양사입구,유,9,27,221,129.2064955,35.20182437,삼양사입구
2656,연제구,연산동,,719-9,삼영맨션,유,7,20,134,129.0838513,35.18123026,삼영맨션
3657,사하구,신평동,,45918,삼익동아빌라,유,9,13,114,128.9752891,35.09424538,삼익동아빌라
2470,수영구,남천동,,148-69,삼익비치B상가,유,8,15,121,129.114774,35.14583009,삼익비치B상가
2471,수영구,남천동,,148-69,삼익비치B상가,유,4,23,66,129.1148271,35.1459883,삼익비치B상가
2472,수영구,남천동,,148-69,삼익비치B상가,유,8,20,154,129.1150589,35.14505072,삼익비치B상가
2473,수영구,남천동,,148-8,삼익비치타운사거리,유,10,7,64,129.1148813,35.14309634,삼익비치타운사거리
2474,수영구,남천동,,148-8,삼익비치타운사거리,유,6,12,68,129.1150325,35.14299781,삼익비치타운사거리
2475,수영구,남천동,,148-8,삼익비치타운사거리,유,7,15,96,129.1150454,35.14318462,삼익비치타운사거리
2476,수영구,남천동,,148-69,삼익비치타운사거리,유,7,15,97,129.1150656,35.14410934,삼익비치타운사거리
2428,수영구,남천동,,148-8,삼익스포츠,유,8,13,157,129.1149906,35.14102823,삼익스포츠
2399,수영구,남천동,,148-8,삼익유수풀장,유,6,16,103,129.1147807,35.13930118,삼익유수풀장
2423,수영구,남천동,,148-8,삼익유수풀장,유,6,15,89,129.1149662,35.13965158,삼익유수풀장
1658,동구,범일동,,1376-8,삼일극장(직결:동구청),유,4,4,16,129.0562949,35.13820924,삼일극장(직결:동구청)
1695,동구,범일동,,1376-8,삼일극장(직결:동구청),유,8,29,234,129.0564878,35.13813432,삼일극장(직결:동구청)
1696,동구,범일동,,22678,삼일극장(직결:동구청),유,8,29,232,129.0564969,35.13933865,삼일극장(직결:동구청)
3642,사하구,구평동,,163-2,삼일냉장,유,7,16,103,128.9872392,35.08252775,삼일냉장
1515,부산진구,전포동,,874-2,삼전로타리,유,8,16,132,129.0634873,35.16414829,삼전로타리
1516,부산진구,전포동,,874-10,삼전로타리,유,8,19,158,129.0641978,35.1637863,삼전로타리
1517,부산진구,전포동,,874-5,삼전로타리,유,8,9,69,129.0643711,35.16393525,삼전로타리
1518,부산진구,전포동,,874-3,삼전로타리,유,8,30,246,129.0640929,35.16403022,삼전로타리
2283,북구,구포동,,1127-2,삼진섬유,유,6,13,82,128.9901691,35.19372172,삼진섬유
3298,금정구,구서동,,8,삼창맨션(남산중학교),유,6,8,51,129.0931677,35.25848773,삼창맨션(남산중학교)
3617,사하구,신평동,,370-36,삼창목재,유,7,22,153,128.9649537,35.08395554,삼창목재
1095,동래구,수안동,,709-1,삼한맨션,유,4,9,36,129.0876769,35.19441773,삼한맨션
1144,동래구,수안동,,40-19,삼한맨션,유,7,22,147,129.0878703,35.19455134,삼한맨션
490,해운대구,우동,,1129-38,삼호가든,유,7,23,177,129.1351891,35.17111873,삼호가든
491,해운대구,우동,,1194-8,삼호가든,유,7,27,185,129.135274,35.17088204,삼호가든
167,해운대구,재송동,,100,삼화파크맨션,유,6,13,103,129.1268235,35.17997363,삼화파크맨션
826,부산진구,전포동,,575,상공회의소,유,6,14,81,129.0634472,35.14846949,상공회의소
1493,부산진구,전포동,,0,상공회의소,유,0,0,0,129.0633071,35.14891323,상공회의소
1494,남구,문현동,,0,상공회의소,유,0,0,0,129.063314,35.14859493,상공회의소
1495,부산진구,전포동,,859-31,상공회의소,유,7,15,100,129.0625568,35.14842617,상공회의소
1496,부산진구,전포동,,575,상공회의소,유,8,19,140,129.0631789,35.14898492,상공회의소
192,해운대구,좌동,,1402,상당초교앞,유,4,10,41,129.1756359,35.17991526,상당초교앞
634,북구,만덕동,,944-6,상록아파트앞,유,6,9,54,129.0331875,35.20404931,상록아파트앞
1147,동래구,온천동,,1119-91,새들교밑삼거리,유,4,13,45,129.0658442,35.21139195,새들교밑삼거리
1776,서구,충무동1가,,14277,새벽시장,유,8,16,131,129.0239178,35.09320347,새벽시장
1777,서구,남부민동,,643-17,새벽시장,유,9,16,136,129.0240343,35.09208418,새벽시장
1778,서구,충무동1가,,45714,새벽시장,유,8,23,186,129.0242277,35.09503316,새벽시장
1779,서구,충무동1가,,45868,새벽시장,유,8,22,183,129.0240748,35.09432454,새벽시장
2360,사상구,학장동,,772,새벽시장입구,유,8,37,293,128.9818368,35.1507858,새벽시장입구
2361,사상구,학장동,,772,새벽시장입구,유,6,14,90,128.982,35.15095731,새벽시장입구
2362,사상구,학장동,,772,새벽시장입구,유,8,37,290,128.9820769,35.1507366,새벽시장입구
2363,사상구,감전동,,174,새벽시장입구,유,6,13,81,128.982336,35.15226709,새벽시장입구
3449,사하구,당리동,,317-86,새싹유치원,유,4,6,24,128.9758652,35.10449988,새싹유치원
2685,연제구,연산동,,590-26,새연산아파트,유,9,14,122,129.0845595,35.18833037,새연산아파트
2686,연제구,연산동,,1515-6,새연산아파트,유,6,13,85,129.0857834,35.18929186,새연산아파트
296,해운대구,우동,,1228,새한센시빌,유,12,25,153,129.1313303,35.17479922,새한센시빌
3306,금정구,서동,,211-34,서2동사무소 앞,유,4,7,29,129.1046951,35.21262766,서2동사무소 앞
3230,강서구,대저1동,,31898,서강여고,유,4,8,33,128.9819093,35.21282035,서강여고
2637,연제구,연산동,,1127-13,서경정비,유,6,22,142,129.0794968,35.18680208,서경정비
3332,금정구,서동,,134-39,서곡초교,유,7,9,60,129.1050182,35.21857519,서곡초교
3333,금정구,서동,,405,서곡초교,유,5,12,58,129.1048461,35.21860733,서곡초교
3763,중구,부평동3가,,13181,서구청,유,8,39,319,129.0251334,35.09826442,서구청
1797,서구,서대신동2가,,318-40,서대신로타리,유,9,17,147,129.0116753,35.11069185,서대신로타리
1798,서구,서대신동2가,,334,서대신로타리,유,6,14,85,129.0125062,35.11129203,서대신로타리
3363,동래구,명장동,,556-12,서동 서명초등학교,유,7,6,34,129.0954688,35.21554916,서동 서명초등학교
3259,금정구,서동,,512-13,서동초교,유,8,9,73,129.0985888,35.21895477,서동초교
1519,부산진구,부전동,,261-4,서면교차로,유,6,15,90,129.0585837,35.15839383,서면교차로
1520,부산진구,부전동,,142-9,서면교차로,유,6,15,94,129.0599531,35.15773586,서면교차로
1353,부산진구,전포동,,876-7,서면부산농협,유,8,27,218,129.0618146,35.16267006,서면부산농협
1462,부산진구,범천동,,1279-19,서면지구대,유,13,21,144,129.0553221,35.14686864,서면지구대
1162,서구,서대신동2가,,272,서부경찰서,유,8,18,145,129.0137442,35.1101238,서부경찰서
1747,서구,서대신동3가,,36312,서부교육청입구(남성한빛가든),유,6,13,82,129.0119239,35.11807778,서부교육청입구(남성한빛가든)
1748,서구,서대신동3가,,128-22,서부교육청입구(남성한빛가든),유,6,15,92,129.012402,35.11722159,서부교육청입구(남성한빛가든)
3218,강서구,대저2동,,2551-99,서부산I/C,유,6,8,45,128.9561225,35.15798468,서부산I/C
3219,강서구,대저2동,,2551-99,서부산I/C,유,8,26,183,128.9561241,35.15779337,서부산I/C
3220,강서구,대저2동,,2551-99,서부산I/C,유,11,36,376,128.9563477,35.15756829,서부산I/C
2801,강서구,대저2동,,3139,서부산유통단지 1지점,유,24,18,268,128.9546712,35.16730276,서부산유통단지 1지점
2802,강서구,대저2동,,3139,서부산유통단지 1지점,유,22,17,244,128.9542137,35.16714745,서부산유통단지 1지점
2803,강서구,대저2동,,3139,서부산유통단지 1지점,유,22,17,236,128.9545449,35.16702776,서부산유통단지 1지점
2804,강서구,대저2동,,3139,서부산유통단지 1지점,유,22,17,238,128.9543417,35.16742406,서부산유통단지 1지점
2805,강서구,대저2동,,3145,서부산유통단지 2지점,유,20,15,198,128.9555487,35.16520741,서부산유통단지 2지점
2806,강서구,대저2동,,3145,서부산유통단지 2지점,유,20,14,199,128.9554212,35.16547467,서부산유통단지 2지점
2807,강서구,대저2동,,3145,서부산유통단지 2지점,유,9,20,147,128.9552941,35.16527984,서부산유통단지 2지점
2808,강서구,대저2동,,3145,서부산유통단지 2지점,유,9,21,158,128.9556732,35.16540283,서부산유통단지 2지점
2809,강서구,대저2동,,3294,서부산유통단지 3지점,유,8,15,114,128.9562022,35.16362282,서부산유통단지 3지점
2810,강서구,대저2동,,3294,서부산유통단지 3지점,유,8,13,103,128.9566059,35.16376784,서부산유통단지 3지점
2811,강서구,대저2동,,3294,서부산유통단지 3지점,유,9,27,204,128.9563538,35.16380718,서부산유통단지 3지점
2812,강서구,대저2동,,3140,서부산유통단지 4지점,유,19,12,188,128.9506481,35.16580057,서부산유통단지 4지점
2813,강서구,대저2동,,3140,서부산유통단지 4지점,유,18,13,182,128.9503064,35.1656735,서부산유통단지 4지점
2814,강서구,대저2동,,3140,서부산유통단지 4지점,유,8,17,130,128.9505672,35.16556435,서부산유통단지 4지점
2815,강서구,대저2동,,3144,서부산유통단지 5지점,유,6,18,102,128.9513406,35.16379793,서부산유통단지 5지점
2816,강서구,대저2동,,3144,서부산유통단지 5지점,유,6,18,104,128.9516939,35.16392025,서부산유통단지 5지점
2817,강서구,대저2동,,3144,서부산유통단지 5지점,유,6,17,97,128.9515954,35.1637115,서부산유통단지 5지점
2818,강서구,대저2동,,3144,서부산유통단지 5지점,유,6,18,106,128.9514419,35.16400076,서부산유통단지 5지점
2819,강서구,대저2동,,3851,서부산유통단지 6지점,유,6,14,83,128.9522754,35.16215409,서부산유통단지 6지점
2820,강서구,대저2동,,3143,서부산유통단지 6지점,유,6,14,83,128.9525883,35.16226852,서부산유통단지 6지점
2821,강서구,대저2동,,3143,서부산유통단지 6지점,유,7,20,117,128.9523749,35.1623163,서부산유통단지 6지점
2822,강서구,대저2동,,3143,서부산유통단지 7지점,유,6,10,61,128.9470547,35.16427751,서부산유통단지 7지점
2823,강서구,대저2동,,45680,서부산유통단지 7지점,유,6,11,63,128.9469037,35.16459559,서부산유통단지 7지점
2824,강서구,대저2동,,45680,서부산유통단지 7지점,유,9,27,208,128.9470888,35.16447302,서부산유통단지 7지점
2825,강서구,대저2동,,3143,서부산유통단지 8지점,유,7,13,69,128.9479386,35.16266944,서부산유통단지 8지점
2826,강서구,대저2동,,3143,서부산유통단지 8지점,유,6,19,110,128.9481225,35.16258236,서부산유통단지 8지점
2304,사상구,괘법동,,572-1,서부시외버스터미널,유,7,18,122,128.9845301,35.16252996,서부시외버스터미널
2305,사상구,괘법동,,572-1,서부시외버스터미널,유,9,22,162,128.9842289,35.16217923,서부시외버스터미널
2306,사상구,괘법동,,572-1,서부시외버스터미널,유,9,24,176,128.9841181,35.16194517,서부시외버스터미널
2307,사상구,괘법동,,572-1,서부시외버스터미널,유,7,14,91,128.9843336,35.16172597,서부시외버스터미널
2308,사상구,괘법동,,572-1,서부시외버스터미널,유,7,14,97,128.9852662,35.16159705,서부시외버스터미널
2309,사상구,괘법동,,547-4,서부시외버스터미널,유,42,38,531,128.9849766,35.16215465,서부시외버스터미널
2221,사상구,삼락동,,361-14,서부주유소,유,16,12,127,128.9764615,35.18307332,서부주유소
2337,사상구,삼락동,,361-14,서부주유소,유,9,25,228,128.976295,35.18332115,서부주유소
2343,사상구,삼락동,,572-17,서부터미널,유,12,26,302,128.9759485,35.16355017,서부터미널
2344,사상구,삼락동,,574-2,서부터미널,유,4,11,44,128.9757289,35.16358881,서부터미널
2740,강서구,강동동,,1659,서부환경사업소,유,6,6,37,128.9249617,35.19558047,서부환경사업소
3027,강서구,강동동,,1659,서부환경사업소,유,7,7,54,128.9248586,35.19574897,서부환경사업소
1869,기장군,기장읍,연화리,412,서암마을 삼거리,유,4,7,28,129.2217312,35.21271645,서암마을 삼거리
1789,서구,동대신동3가,,50-31,서여고,유,9,33,292,129.0206931,35.11338615,서여고
3555,사하구,당리동,,1103-12,서여중,유,7,27,143,128.9805384,35.10051419,서여중
3598,사하구,당리동,,1130-5,서여중,유,9,24,210,128.9801702,35.10045378,서여중
3599,사하구,괴정동,,580-4,서여중,유,6,23,147,128.9818369,35.10008932,서여중
1062,동래구,안락동,,425-5,서원사거리,유,4,8,34,129.0980795,35.20103533,서원사거리
1178,동래구,안락동,,425-95,서원사거리,유,6,15,89,129.0981844,35.20081774,서원사거리
1179,동래구,안락동,,420-20,서원사거리,유,6,20,82,129.0983915,35.20095836,서원사거리
1071,동래구,안락동,,425-39,서원시장(복개천),유,7,14,95,129.0995272,35.20054697,서원시장(복개천)
1098,동래구,안락동,,426-26,서원시장(복개천),유,6,13,77,129.0996296,35.20072215,서원시장(복개천)
1099,동래구,안락동,,425-39,서원시장(복개천),유,7,10,68,129.0994539,35.20065649,서원시장(복개천)
1106,동래구,안락동,,429-50,서원시장(복개천),유,10,8,67,129.0997096,35.20059365,서원시장(복개천)
3597,사하구,하단동,,667-1,서원유통,유,7,16,109,128.9611176,35.09776359,서원유통
2565,연제구,연산동,,1135-44,서원유통앞,유,6,8,49,129.0883669,35.17980227,서원유통앞
807,남구,문현동,,141-72,서원유통앞삼거리,유,9,15,99,129.0728281,35.1414942,서원유통앞삼거리
812,남구,문현동,,183-44,서원유통앞삼거리,유,14,12,131,129.0726003,35.14113153,서원유통앞삼거리
1100,동래구,안락동,,425-56,서원장여관(복개천),유,7,15,95,129.0984496,35.19884997,서원장여관(복개천)
2621,연제구,연산동,,1515-6,서원탑24시,유,6,14,89,129.0825701,35.18678326,서원탑24시
234,해운대구,반여동,,470-4,석대 세양 CY,유,6,17,100,129.1277521,35.21995897,석대 세양 CY
176,해운대구,석대동,,10-63,석대 철고물집하장,유,6,14,83,129.1446527,35.22134246,석대 철고물집하장
177,해운대구,석대동,,45658,석대 철고물집하장,유,6,9,56,129.1444908,35.22132698,석대 철고물집하장
508,해운대구,석대동,,489,석대꽃농원앞,유,6,14,80,129.1247373,35.21876879,석대꽃농원앞
509,해운대구,석대동,,산150-2,석대꽃농원앞,유,6,16,96,129.124841,35.21903465,석대꽃농원앞
510,해운대구,석대동,,604,석대사거리,유,15,21,132,129.1191849,35.21774327,석대사거리
511,해운대구,석대동,,604,석대사거리,유,5,29,142,129.1193024,35.21748484,석대사거리
512,해운대구,석대동,,541,석대사거리,유,6,21,127,129.1194092,35.2176894,석대사거리
507,해운대구,반여동,,288,석대진개장,유,14,11,130,129.1298523,35.21997947,석대진개장
873,남구,용당동,,산42-4,석포여중,유,8,9,68,129.095982,35.12483343,석포여중
874,남구,용당동,,580-10,석포여중,유,6,7,45,129.0968387,35.12372644,석포여중
961,남구,대연동,,1077-1,석포여중,유,8,16,138,129.0914563,35.12871342,석포여중
909,남구,대연동,,1136-9,석포초교 (진입),유,6,17,101,129.0900291,35.12670914,석포초교 (진입)
3421,금정구,구서동,,936-8,선경아파트,유,8,25,207,129.0913809,35.25349219,선경아파트
3422,금정구,구서동,,183-2,선경아파트,유,9,25,212,129.0913858,35.25494761,선경아파트
76,해운대구,반여동,,1403-82,선수촌로입구,유,3,18,52,129.1186528,35.19747576,선수촌로입구
77,해운대구,반여동,,1405-51,선수촌로입구,유,6,9,54,129.1188228,35.19744847,선수촌로입구
1257,부산진구,범천동,,1194-70,선암초교입구,유,6,9,57,129.0492355,35.15036397,선암초교입구
2335,사상구,삼락동,,26451,선진사료,유,6,28,169,128.9829865,35.19301798,선진사료
1617,영도구,청학동,,326-6,선진조선앞,유,7,22,137,129.0579908,35.09935327,선진조선앞
1657,동구,초량동,,827-30,선화여상,유,7,12,86,129.0332265,35.12155392,선화여상
1400,부산진구,연지동,,269-34,성곡종합시장입구,유,6,9,56,129.0488858,35.17487354,성곡종합시장입구
2223,사상구,모라동,,1337-2,성금당(성일교회),유,5,7,24,128.9927631,35.19253874,성금당(성일교회)
2320,사상구,모라동,,1337-4,성금당(성일교회),유,9,19,159,128.9926782,35.19271073,성금당(성일교회)
1002,남구,문현동,,484-31,성동초교,유,8,41,346,129.0667477,35.14295141,성동초교
2661,부산진구,양정동,,479-32,성림목재,유,8,40,335,129.067859,35.17699321,성림목재
3734,사하구,하단동,,303-10,성모병원,유,9,23,208,128.9694213,35.105185,성모병원
824,남구,용호동,,산221-16,성모병원(늘빛교회),유,3,3,9,129.1119513,35.10799628,성모병원(늘빛교회)
825,남구,용호동,,산221-16,성모병원(늘빛교회),유,3,5,16,129.1119762,35.10807277,성모병원(늘빛교회)
892,남구,용호동,,894-40,성모병원(늘빛교회),유,6,12,74,129.112086,35.10848772,성모병원(늘빛교회)
2677,연제구,연산동,,343,성모약국,유,17,10,142,129.0956056,35.18842289,성모약국
1344,부산진구,전포동,,358-8,성북초교,유,6,14,81,129.0684016,35.15060112,성북초교
2446,수영구,남천동,,509-1,성분도칫과,유,4,14,73,129.1112619,35.15028857,성분도칫과
1299,부산진구,범천동,,842-8,성서초교,유,11,12,132,129.0617957,35.14492718,성서초교
1862,기장군,기장읍,교리,365,성심목화아파트,유,8,13,102,129.217643,35.2545971,성심목화아파트
1863,기장군,기장읍,교리,365,성심목화아파트,유,7,13,83,129.2179059,35.25482014,성심목화아파트
408,해운대구,중동,,1787,성심병원입구(10),유,6,21,133,129.1705434,35.16296858,성심병원입구(10)
1250,부산진구,범천동,,1187-101,성심의원,유,7,31,140,129.0498841,35.15237305,성심의원
1466,부산진구,범천동,,1187-89,성심의원,유,7,17,117,129.0501772,35.15225046,성심의원
1187,동래구,안락동,,520-7,성암정형외과,유,9,19,162,129.1013988,35.19700694,성암정형외과
3697,사하구,신평동,,582-1,성일여고,유,7,21,142,128.9776036,35.08774861,성일여고
841,남구,우암동,,101-1,"성지공고,성지중학교",유,10,13,132,129.0809988,35.12708956,"성지공고,성지중학교"
882,남구,우암동,,101-1,"성지공고,성지중학교",유,11,12,138,129.0824207,35.12757626,"성지공고,성지중학교"
1245,부산진구,연지동,,17989,성지주유소,유,13,19,121,129.0587806,35.17166614,성지주유소
1477,부산진구,연지동,,23863,성지주유소,유,9,29,260,129.0590482,35.1716302,성지주유소
2241,사상구,학장동,,246-25,성진화학,유,6,15,91,128.985087,35.14757367,성진화학
844,남구,우암동,,215-41,성천초교입구,유,5,14,74,129.0705022,35.13090242,성천초교입구
885,남구,우암동,,산5-1,성천초교입구,유,4,12,105,129.0706525,35.13077931,성천초교입구
886,남구,우암동,,215-41,성천초교입구,유,6,6,66,129.0705253,35.13100195,성천초교입구
2619,연제구,거제동,,1095-2,성학주유소,유,8,32,267,129.0704012,35.19023281,성학주유소
